Страна,fewer than 1 mln. people - население менее 1 млн. человек,no self-identifying ethnic majority - без монобольшинства (ни одна культурно самоидентифицирующаяся группа не занимает 50 и более %),access to the world ocean - с выходом к мировому океану,sovereignty and democratic turnover of power - мирная демократическая сменяемость власти и суверенная республика
Australia Австралия ,,,,
Austria Австрия,,,,
Azerbaijan Азербайджан,,,,
Albania Албания,,,,
Algeria Алжир,,,,
Angola Ангола,,,,
Andorra Андорра,,,,
Antigua and Barbuda Антигуа и Барбуда,,,,
Argentina Аргентина,,,,
Armenia Армения,,,,
Afghanistan Афганистан,,,,
Bahamas Багамы,,,,
Bangladesh Бангладеш,,,,
Barbados Барбадос,,,,
Bahrain Бахрейн,,,,
Belarus Белоруссия,,,,
Belize Белиз,,,,
Belgium Бельгия,,,,
Benin Бенин,,,,
Bulgaria Болгария,,,,
Bolivia Боливия,,,,
Bosnia and Herzegovina Босния и Герцеговина,,,,
Botswana Ботсвана,,,,
Brazil Бразилия,,,,
Brunei Бруней,,,,
Burkina Faso Буркина-Фасо,,,,
Burundi Бурунди,,,,
Butane Бутан,,,,
Vanuatu Вануату,,,,
Great Britain Великобритания,,,,
Hungary Венгрия,,,,
Venezuela Венесуэла,,,,
East Timor Восточный Тимор,,,,
Vietnam Вьетнам,,,,
Gabon Габон,,,,
Haiti Гаити,,,,
Guyana Гайана,,,,
Gambia Гамбия,,,,
Ghana Гана,,,,
Guatemala Гватемала,,,,
Guinea Гвинея,,,,
Guinea-Bissau Гвинея-Бисау,,,,
Germany Германия,,,,
Honduras Гондурас,,,,
Grenada Гренада,,,,
Greece Греция,,,,
Georgia Грузия,,,,
Denmark Дания,,,,
Djibouti Джибути,,,,
Dominica Доминика,,,,
Dominican Republic Доминикана,,,,
Egypt Египет,,,,
Zambia Замбия,,,,
Zimbabwe Зимбабве,,,,
Israel Израиль,,,,
India Индия,,,,
Indonesia Индонезия,,,,
Jordan Иордания,,,,
Iraq Ирак,,,,
Iran Иран,,,,
Ireland Ирландия,,,,
Iceland Исландия,,,,
Spain Испания,,,,
Italy Италия,,,,
Yemen Йемен,,,,
Cape Verde Кабо-Верде,,,,
Kazakhstan Казахстан,,,,
Cambodia Камбоджа,,,,
Cameroon Камерун,,,,
Canada Канада,,,,
Qatar Катар,,,,
Kenya Кения,,,,
Cyprus Кипр,,,,
Kyrgyzstan Киргизия,,,,
Kiribati Кирибати,,,,
China Китай,,,,
Colombia Колумбия,,,,
Comoros Коморы,,,,
Congo Конго,,,,
DR Congo ДР Конго,,,,
DPRK КНДР,,,,
Korea Корея,,,,
Costa Rica Коста-Рика,,,,
Ivory Coast Кот-д’Ивуар,,,,
Cuba Куба,,,,
Kuwait Кувейт,,,,
Laos Лаос,,,,
Latvia Латвия,,,,
Lesotho Лесото,,,,
Liberia Либерия,,,,
Lebanon Ливан,,,,
Libya Ливия,,,,
Lithuania Литва,,,,
Liechtenstein Лихтенштейн,,,,
Luxembourg Люксембург,,,,
Mauritius Маврикий,,,,
Mauritania Мавритания,,,,
Madagascar Мадагаскар,,,,
Malawi Малави,,,,
Malaysia Малайзия,,,,
Mali Мали,,,,
Maldives Мальдивы,,,,
Malta Мальта,,,,
Morocco Марокко,,,,
Marshall Islands Маршалловы Острова,,,,
Mexico Мексика,,,,
Mozambique Мозамбик,,,,
Moldavia Молдавия,,,,
Monaco Монако,,,,
Mongolia Монголия,,,,
Myanmar Мьянма,,,,
Namibia Намибия,,,,
Nauru Науру,,,,
Nepal Непал,,,,
Niger Нигер,,,,
Nigeria Нигерия,,,,
Netherlands Нидерланды,,,,
Nicaragua Никарагуа,,,,
New Zealand Новая Зеландия,,,,
Norway Норвегия,,,,
UAE ОАЭ,,,,
Oman Оман,,,,
Pakistan Пакистан,,,,
Palau Палау,,,,
Panama Панама,,,,
Papua New Guinea Папуа — Новая Гвинея,,,,
Paraguay Парагвай,,,,
Peru Перу,,,,
Poland Польша,,,,
Portugal Португалия,,,,
Russia Россия,,,,
Rwanda Руанда,,,,
Romania Румыния,,,,
Salvador Сальвадор,,,,
Samoa Самоа,,,,
San Marino Сан-Марино,,,,
Sao Tome and Principe Сан-Томе и Принсипи,,,,
Saudi Arabia Саудовская Аравия,,,,
North Macedonia Северная Македония,,,,
Seychelles Сейшелы,,,,
Senegal Сенегал,,,,
Saint Vincent and the Grenadines Сент-Винсент и Гренадины,,,,
Saint Kitts and Nevis Сент-Китс и Невис,,,,
Saint Lucia Сент-Люсия,,,,
Serbia Сербия,,,,
Singapore Сингапур,,,,
Syria Сирия,,,,
Slovakia Словакия,,,,
Slovenia Словения,,,,
USA США,,,,
Solomon islands Соломоновы Острова,,,,
Somalia Сомали,,,,
Sudan Судан,,,,
Suriname Суринам,,,,
Sierra leone Сьерра-Леоне,,,,
Tajikistan Таджикистан ,,,,
Thailand Таиланд,,,,
Tanzania Танзания,,,,
Togo Того,,,,
Tonga Тонга,,,,
Trinidad and Tobago Тринидад и Тобаго,,,,
Tuvalu Тувалу,,,,
Tunisia Тунис,,,,
Turkmenistan Туркмения,,,,
Turkey Турция,,,,
Uganda Уганда,,,,
Uzbekistan Узбекистан,,,,
Ukraine Украина,,,,
Uruguay Уругвай,,,,
Micronesia Микронезия,,,,
Fiji Фиджи ,,,,
Philippines Филиппины,,,,
Finland Финляндия,,,,
France Франция ,,,,
Croatia Хорватия,,,,
CAR ЦАР,,,,
Chad Чад,,,,
Montenegro Черногория,,,,
Czech Republic Чехия,,,,
Chile Чили,,,,
Switzerland Швейцария,,,,
Sweden Швеция,,,,
Sri Lanka Шри-Ланка,,,,
Ecuador Эквадор,,,,
Equatorial Guinea Экваториальная Гвинея,,,,
Eritrea Эритрея,,,,
Eswatini Эсватини,,,,
Estonia Эстония,,,,
Ethiopia Эфиопия,,,,
South Africa ЮАР,,,,
South Sudan Южный Судан,,,,
Jamaica Ямайка,,,,
Japan Япония,,,,